Calibration metrics:
x0: Cal. error 0.4390, RMSE 0.1474, R2 0.2181
x1: Cal. error 0.3570, RMSE 0.1203, R2 0.4840
x2: Cal. error 0.3520, RMSE 0.1133, R2 0.5437
x3: Cal. error 0.3480, RMSE 0.1082, R2 0.5874
x4: Cal. error 0.3260, RMSE 0.1054, R2 0.6096
x5: Cal. error 0.3260, RMSE 0.1082, R2 0.5884
x6: Cal. error 0.3170, RMSE 0.1092, R2 0.5798
x7: Cal. error 0.3190, RMSE 0.1113, R2 0.5619
x8: Cal. error 0.3310, RMSE 0.1114, R2 0.5594
x9: Cal. error 0.3070, RMSE 0.1108, R2 0.5595
x10: Cal. error 0.2980, RMSE 0.1104, R2 0.5574
x11: Cal. error 0.3400, RMSE 0.1119, R2 0.5388
x12: Cal. error 0.3590, RMSE 0.1103, R2 0.5453
x13: Cal. error 0.3480, RMSE 0.1094, R2 0.5458
x14: Cal. error 0.3690, RMSE 0.1085, R2 0.5471
x15: Cal. error 0.3690, RMSE 0.1094, R2 0.5319
x16: Cal. error 0.3690, RMSE 0.1073, R2 0.5429
x17: Cal. error 0.3680, RMSE 0.1074, R2 0.5369
x18: Cal. error 0.3650, RMSE 0.1080, R2 0.5265
x19: Cal. error 0.3600, RMSE 0.1116, R2 0.4895
x20: Cal. error 0.3500, RMSE 0.1117, R2 0.4853
x21: Cal. error 0.3370, RMSE 0.1126, R2 0.4757
x22: Cal. error 0.3280, RMSE 0.1132, R2 0.4680
x23: Cal. error 0.3420, RMSE 0.1167, R2 0.4344
x24: Cal. error 0.3580, RMSE 0.1175, R2 0.4280
x25: Cal. error 0.3550, RMSE 0.1192, R2 0.4124
x26: Cal. error 0.3540, RMSE 0.1215, R2 0.3938
x27: Cal. error 0.3430, RMSE 0.1279, R2 0.3312
x28: Cal. error 0.3290, RMSE 0.1305, R2 0.3097
x29: Cal. error 0.3310, RMSE 0.1338, R2 0.2813
x30: Cal. error 0.3410, RMSE 0.1369, R2 0.2530
x31: Cal. error 0.3650, RMSE 0.1427, R2 0.1934
x32: Cal. error 0.3760, RMSE 0.1435, R2 0.1924
x33: Cal. error 0.3780, RMSE 0.1441, R2 0.1919
x34: Cal. error 0.3850, RMSE 0.1437, R2 0.2027
x35: Cal. error 0.3940, RMSE 0.1485, R2 0.1572
x36: Cal. error 0.3900, RMSE 0.1463, R2 0.1840
x37: Cal. error 0.3830, RMSE 0.1435, R2 0.2086
x38: Cal. error 0.3880, RMSE 0.1413, R2 0.2417
x39: Cal. error 0.3960, RMSE 0.1449, R2 0.2145
x40: Cal. error 0.4090, RMSE 0.1405, R2 0.2647
x41: Cal. error 0.4060, RMSE 0.1395, R2 0.2789
x42: Cal. error 0.3780, RMSE 0.1388, R2 0.2932
x43: Cal. error 0.3840, RMSE 0.1439, R2 0.2474
x44: Cal. error 0.3830, RMSE 0.1434, R2 0.2581
x45: Cal. error 0.3710, RMSE 0.1457, R2 0.2355
x46: Cal. error 0.3500, RMSE 0.1475, R2 0.2183
x47: Cal. error 0.3660, RMSE 0.1542, R2 0.1445
x48: Cal. error 0.3760, RMSE 0.1550, R2 0.1284
x49: Cal. error 0.3650, RMSE 0.1547, R2 0.1243
x50: Cal. error 0.3580, RMSE 0.1546, R2 0.1197
x51: Cal. error 0.3760, RMSE 0.1595, R2 0.0567
x52: Cal. error 0.3810, RMSE 0.1577, R2 0.0675
x53: Cal. error 0.3710, RMSE 0.1579, R2 0.0592
x54: Cal. error 0.3660, RMSE 0.1588, R2 0.0469
x55: Cal. error 0.3740, RMSE 0.1627, R2 -0.0020
x56: Cal. error 0.3740, RMSE 0.1608, R2 0.0223
x57: Cal. error 0.3930, RMSE 0.1615, R2 0.0121
x58: Cal. error 0.4160, RMSE 0.1630, R2 -0.0008
x59: Cal. error 0.4360, RMSE 0.1624, R2 0.0135
x60: Cal. error 0.3920, RMSE 0.1500, R2 0.1651
x61: Cal. error 0.3980, RMSE 0.1477, R2 0.1972
x62: Cal. error 0.4100, RMSE 0.1423, R2 0.2598
x63: Cal. error 0.4700, RMSE 0.1946, R2 -0.3738
x64: Cal. error 0.4260, RMSE 0.1781, R2 -0.1462
x65: Cal. error 0.3550, RMSE 0.1543, R2 0.1463
x66: Cal. error 0.3450, RMSE 0.1488, R2 0.2096
x67: Cal. error 0.3450, RMSE 0.1457, R2 0.2480
x68: Cal. error 0.3270, RMSE 0.1437, R2 0.2708
x69: Cal. error 0.3230, RMSE 0.1468, R2 0.2388
x70: Cal. error 0.3510, RMSE 0.1490, R2 0.2141
x71: Cal. error 0.3550, RMSE 0.1519, R2 0.1806
x72: Cal. error 0.3670, RMSE 0.1534, R2 0.1605
x73: Cal. error 0.3790, RMSE 0.1545, R2 0.1395
x74: Cal. error 0.3690, RMSE 0.1567, R2 0.1042
x75: Cal. error 0.3740, RMSE 0.1589, R2 0.0669
x76: Cal. error 0.3710, RMSE 0.1575, R2 0.0690
x77: Cal. error 0.3680, RMSE 0.1560, R2 0.0742
x78: Cal. error 0.3570, RMSE 0.1538, R2 0.0862
x79: Cal. error 0.3650, RMSE 0.1548, R2 0.0612
x80: Cal. error 0.3640, RMSE 0.1533, R2 0.0654
x81: Cal. error 0.3710, RMSE 0.1537, R2 0.0489
x82: Cal. error 0.3650, RMSE 0.1546, R2 0.0265
x83: Cal. error 0.3790, RMSE 0.1581, R2 -0.0255
x84: Cal. error 0.3740, RMSE 0.1583, R2 -0.0352
x85: Cal. error 0.3840, RMSE 0.1594, R2 -0.0539
x86: Cal. error 0.3850, RMSE 0.1610, R2 -0.0782
x87: Cal. error 0.3690, RMSE 0.1662, R2 -0.1494
x88: Cal. error 0.3740, RMSE 0.1678, R2 -0.1681
x89: Cal. error 0.3760, RMSE 0.1712, R2 -0.2120
x90: Cal. error 0.3780, RMSE 0.1759, R2 -0.2714
x91: Cal. error 0.3740, RMSE 0.1831, R2 -0.3711
x92: Cal. error 0.3990, RMSE 0.1864, R2 -0.4095
x93: Cal. error 0.3990, RMSE 0.1915, R2 -0.4739
x94: Cal. error 0.4150, RMSE 0.1952, R2 -0.5202
x95: Cal. error 0.4030, RMSE 0.2007, R2 -0.5962
x96: Cal. error 0.3990, RMSE 0.2024, R2 -0.6073
x97: Cal. error 0.4060, RMSE 0.2047, R2 -0.6332
x98: Cal. error 0.4060, RMSE 0.2068, R2 -0.6514
x99: Cal. error 0.4150, RMSE 0.2123, R2 -0.7234
x100: Cal. error 0.4200, RMSE 0.2116, R2 -0.7061
x101: Cal. error 0.4290, RMSE 0.2084, R2 -0.6698
x102: Cal. error 0.4340, RMSE 0.2071, R2 -0.6302
x103: Cal. error 0.4340, RMSE 0.2112, R2 -0.6695
x104: Cal. error 0.4240, RMSE 0.2071, R2 -0.6000
x105: Cal. error 0.4260, RMSE 0.2053, R2 -0.5648
x106: Cal. error 0.4260, RMSE 0.2050, R2 -0.5450
x107: Cal. error 0.4200, RMSE 0.2088, R2 -0.5875
x108: Cal. error 0.4150, RMSE 0.2084, R2 -0.5688
x109: Cal. error 0.4130, RMSE 0.2091, R2 -0.5768
x110: Cal. error 0.4000, RMSE 0.2096, R2 -0.5820
x111: Cal. error 0.3890, RMSE 0.2150, R2 -0.6651
x112: Cal. error 0.3860, RMSE 0.2139, R2 -0.6645
x113: Cal. error 0.3890, RMSE 0.2134, R2 -0.6694
x114: Cal. error 0.3920, RMSE 0.2122, R2 -0.6617
x115: Cal. error 0.3990, RMSE 0.2161, R2 -0.7337
x116: Cal. error 0.4080, RMSE 0.2138, R2 -0.7172
x117: Cal. error 0.4060, RMSE 0.2132, R2 -0.7191
x118: Cal. error 0.4100, RMSE 0.2136, R2 -0.7291
x119: Cal. error 0.4150, RMSE 0.2172, R2 -0.7917
x120: Cal. error 0.4090, RMSE 0.2143, R2 -0.7442
x121: Cal. error 0.4230, RMSE 0.2151, R2 -0.7588
x122: Cal. error 0.4270, RMSE 0.2186, R2 -0.8062
x123: Cal. error 0.4430, RMSE 0.2190, R2 -0.8016
x124: Cal. error 0.4060, RMSE 0.2097, R2 -0.6400
x125: Cal. error 0.4260, RMSE 0.2110, R2 -0.6462
x126: Cal. error 0.4200, RMSE 0.2038, R2 -0.5260
x127: Cal. error 0.4800, RMSE 0.2570, R2 -1.4083
x128: Cal. error 0.3380, RMSE 0.1120, R2 0.5937
x129: Cal. error 0.3090, RMSE 0.1059, R2 0.6550
x130: Cal. error 0.3210, RMSE 0.1062, R2 0.6779
x131: Cal. error 0.2940, RMSE 0.1056, R2 0.6872
x132: Cal. error 0.2960, RMSE 0.1114, R2 0.6596
x133: Cal. error 0.3090, RMSE 0.1130, R2 0.6540
x134: Cal. error 0.2890, RMSE 0.1121, R2 0.6676
x135: Cal. error 0.2790, RMSE 0.1125, R2 0.6711
x136: Cal. error 0.2860, RMSE 0.1096, R2 0.6776
x137: Cal. error 0.2890, RMSE 0.1085, R2 0.6744
x138: Cal. error 0.2700, RMSE 0.1073, R2 0.6738
x139: Cal. error 0.2900, RMSE 0.1086, R2 0.6570
x140: Cal. error 0.2890, RMSE 0.1060, R2 0.6557
x141: Cal. error 0.3040, RMSE 0.1045, R2 0.6446
x142: Cal. error 0.3130, RMSE 0.1026, R2 0.6402
x143: Cal. error 0.3160, RMSE 0.1037, R2 0.6179
x144: Cal. error 0.3030, RMSE 0.1023, R2 0.6156
x145: Cal. error 0.3140, RMSE 0.1048, R2 0.5859
x146: Cal. error 0.3300, RMSE 0.1063, R2 0.5631
x147: Cal. error 0.3280, RMSE 0.1117, R2 0.5110
x148: Cal. error 0.3330, RMSE 0.1133, R2 0.4899
x149: Cal. error 0.3440, RMSE 0.1185, R2 0.4411
x150: Cal. error 0.3330, RMSE 0.1241, R2 0.3944
x151: Cal. error 0.3690, RMSE 0.1321, R2 0.3076
x152: Cal. error 0.3540, RMSE 0.1337, R2 0.2615
x153: Cal. error 0.3420, RMSE 0.1384, R2 0.2027
x154: Cal. error 0.3410, RMSE 0.1434, R2 0.1662
x155: Cal. error 0.3550, RMSE 0.1539, R2 0.0807
x156: Cal. error 0.3500, RMSE 0.1631, R2 0.0447
x157: Cal. error 0.3690, RMSE 0.1769, R2 -0.0104
x158: Cal. error 0.3780, RMSE 0.1925, R2 -0.0549
x159: Cal. error 0.3750, RMSE 0.2007, R2 -0.1303
x160: Cal. error 0.3950, RMSE 0.1986, R2 -0.1299
x161: Cal. error 0.3950, RMSE 0.1952, R2 -0.1410
x162: Cal. error 0.4060, RMSE 0.1941, R2 -0.1197
x163: Cal. error 0.4100, RMSE 0.1976, R2 -0.1543
x164: Cal. error 0.4220, RMSE 0.1976, R2 -0.1176
x165: Cal. error 0.4190, RMSE 0.2012, R2 -0.0998
x166: Cal. error 0.4060, RMSE 0.2015, R2 -0.0486
x167: Cal. error 0.3960, RMSE 0.2060, R2 -0.0404
x168: Cal. error 0.3750, RMSE 0.2036, R2 0.0447
x169: Cal. error 0.3820, RMSE 0.1949, R2 0.0879
x170: Cal. error 0.3710, RMSE 0.1888, R2 0.1182
x171: Cal. error 0.3780, RMSE 0.1998, R2 0.0908
x172: Cal. error 0.3570, RMSE 0.1995, R2 0.1047
x173: Cal. error 0.3480, RMSE 0.1965, R2 0.0682
x174: Cal. error 0.3640, RMSE 0.1913, R2 0.0397
x175: Cal. error 0.3650, RMSE 0.1947, R2 -0.0584
x176: Cal. error 0.3540, RMSE 0.1956, R2 -0.1063
x177: Cal. error 0.3620, RMSE 0.1987, R2 -0.1405
x178: Cal. error 0.3690, RMSE 0.1996, R2 -0.1814
x179: Cal. error 0.3670, RMSE 0.1988, R2 -0.2455
x180: Cal. error 0.3680, RMSE 0.1924, R2 -0.2420
x181: Cal. error 0.3930, RMSE 0.1913, R2 -0.2605
x182: Cal. error 0.3980, RMSE 0.1896, R2 -0.2632
x183: Cal. error 0.4020, RMSE 0.1840, R2 -0.2352
x184: Cal. error 0.3980, RMSE 0.1764, R2 -0.1357
x185: Cal. error 0.3960, RMSE 0.1746, R2 -0.0821
x186: Cal. error 0.4070, RMSE 0.1751, R2 -0.0420
x187: Cal. error 0.4300, RMSE 0.1775, R2 -0.0170
x188: Cal. error 0.4100, RMSE 0.1679, R2 0.0682
x189: Cal. error 0.4140, RMSE 0.1712, R2 0.0217
x190: Cal. error 0.4370, RMSE 0.1681, R2 0.0567
x191: Cal. error 0.4430, RMSE 0.1662, R2 0.0815
x192: Cal. error 0.3640, RMSE 0.1599, R2 0.1665
x193: Cal. error 0.3380, RMSE 0.1611, R2 0.1961
x194: Cal. error 0.3230, RMSE 0.1623, R2 0.2413
x195: Cal. error 0.3160, RMSE 0.1608, R2 0.2687
x196: Cal. error 0.3160, RMSE 0.1659, R2 0.2404
x197: Cal. error 0.3360, RMSE 0.1680, R2 0.2304
x198: Cal. error 0.3380, RMSE 0.1689, R2 0.2416
x199: Cal. error 0.3470, RMSE 0.1707, R2 0.2393
x200: Cal. error 0.3640, RMSE 0.1689, R2 0.2311
x201: Cal. error 0.3780, RMSE 0.1694, R2 0.2033
x202: Cal. error 0.3750, RMSE 0.1707, R2 0.1712
x203: Cal. error 0.3750, RMSE 0.1731, R2 0.1268
x204: Cal. error 0.3640, RMSE 0.1700, R2 0.1119
x205: Cal. error 0.3640, RMSE 0.1685, R2 0.0730
x206: Cal. error 0.3600, RMSE 0.1658, R2 0.0565
x207: Cal. error 0.3760, RMSE 0.1674, R2 0.0008
x208: Cal. error 0.3740, RMSE 0.1670, R2 -0.0267
x209: Cal. error 0.3710, RMSE 0.1694, R2 -0.0862
x210: Cal. error 0.3600, RMSE 0.1716, R2 -0.1415
x211: Cal. error 0.3820, RMSE 0.1785, R2 -0.2531
x212: Cal. error 0.3810, RMSE 0.1823, R2 -0.3243
x213: Cal. error 0.3820, RMSE 0.1910, R2 -0.4554
x214: Cal. error 0.3980, RMSE 0.2015, R2 -0.5987
x215: Cal. error 0.3760, RMSE 0.2131, R2 -0.8051
x216: Cal. error 0.3600, RMSE 0.2155, R2 -0.9211
x217: Cal. error 0.3910, RMSE 0.2226, R2 -1.0629
x218: Cal. error 0.4120, RMSE 0.2313, R2 -1.1720
x219: Cal. error 0.4100, RMSE 0.2446, R2 -1.3235
x220: Cal. error 0.4150, RMSE 0.2582, R2 -1.3945
x221: Cal. error 0.4190, RMSE 0.2805, R2 -1.5395
x222: Cal. error 0.4340, RMSE 0.3042, R2 -1.6333
x223: Cal. error 0.4490, RMSE 0.3134, R2 -1.7564
x224: Cal. error 0.4540, RMSE 0.3103, R2 -1.7603
x225: Cal. error 0.4400, RMSE 0.3053, R2 -1.7933
x226: Cal. error 0.4360, RMSE 0.3048, R2 -1.7672
x227: Cal. error 0.4430, RMSE 0.3096, R2 -1.8416
x228: Cal. error 0.4510, RMSE 0.3124, R2 -1.8030
x229: Cal. error 0.4560, RMSE 0.3206, R2 -1.8071
x230: Cal. error 0.4510, RMSE 0.3239, R2 -1.7236
x231: Cal. error 0.4330, RMSE 0.3308, R2 -1.6960
x232: Cal. error 0.4240, RMSE 0.3303, R2 -1.5252
x233: Cal. error 0.4370, RMSE 0.3160, R2 -1.4050
x234: Cal. error 0.4370, RMSE 0.3049, R2 -1.3051
x235: Cal. error 0.4330, RMSE 0.3166, R2 -1.2868
x236: Cal. error 0.4150, RMSE 0.3136, R2 -1.2130
x237: Cal. error 0.4230, RMSE 0.3046, R2 -1.2395
x238: Cal. error 0.4150, RMSE 0.2930, R2 -1.2523
x239: Cal. error 0.4220, RMSE 0.2918, R2 -1.3757
x240: Cal. error 0.4260, RMSE 0.2879, R2 -1.3944
x241: Cal. error 0.4330, RMSE 0.2889, R2 -1.4090
x242: Cal. error 0.4300, RMSE 0.2861, R2 -1.4260
x243: Cal. error 0.4370, RMSE 0.2841, R2 -1.5389
x244: Cal. error 0.4360, RMSE 0.2759, R2 -1.5493
x245: Cal. error 0.4260, RMSE 0.2757, R2 -1.6129
x246: Cal. error 0.4400, RMSE 0.2753, R2 -1.6576
x247: Cal. error 0.4490, RMSE 0.2711, R2 -1.6776
x248: Cal. error 0.4490, RMSE 0.2643, R2 -1.5452
x249: Cal. error 0.4460, RMSE 0.2645, R2 -1.4830
x250: Cal. error 0.4460, RMSE 0.2659, R2 -1.4053
x251: Cal. error 0.4530, RMSE 0.2664, R2 -1.2954
x252: Cal. error 0.4510, RMSE 0.2518, R2 -1.1040
x253: Cal. error 0.4650, RMSE 0.2523, R2 -1.1356
x254: Cal. error 0.4510, RMSE 0.2455, R2 -1.0235
x255: Cal. error 0.4470, RMSE 0.2448, R2 -1.0070
x256: Cal. error 0.3200, RMSE 0.1050, R2 0.5857
x257: Cal. error 0.3060, RMSE 0.0976, R2 0.6816
x258: Cal. error 0.3030, RMSE 0.0998, R2 0.7255
x259: Cal. error 0.3030, RMSE 0.1064, R2 0.7316
x260: Cal. error 0.2910, RMSE 0.1126, R2 0.7195
x261: Cal. error 0.3000, RMSE 0.1141, R2 0.7345
x262: Cal. error 0.2760, RMSE 0.1100, R2 0.7531
x263: Cal. error 0.2760, RMSE 0.1047, R2 0.7562
x264: Cal. error 0.2440, RMSE 0.1060, R2 0.7475
x265: Cal. error 0.2610, RMSE 0.1065, R2 0.7270
x266: Cal. error 0.2930, RMSE 0.1085, R2 0.6995
x267: Cal. error 0.3300, RMSE 0.1109, R2 0.6630
x268: Cal. error 0.3200, RMSE 0.1148, R2 0.6241
x269: Cal. error 0.3190, RMSE 0.1176, R2 0.6095
