Calibration metrics:
x0: Cal. error 0.3820, RMSE 0.2257, R2 -0.8331
x1: Cal. error 0.3650, RMSE 0.2263, R2 -0.8276
x2: Cal. error 0.3450, RMSE 0.2406, R2 -1.0570
x3: Cal. error 0.3110, RMSE 0.2602, R2 -1.3857
x4: Cal. error 0.2810, RMSE 0.3026, R2 -2.2162
x5: Cal. error 0.2790, RMSE 0.3360, R2 -2.9705
x6: Cal. error 0.2930, RMSE 0.3614, R2 -3.5997
x7: Cal. error 0.3000, RMSE 0.3727, R2 -3.9082
x8: Cal. error 0.2940, RMSE 0.3876, R2 -4.3347
x9: Cal. error 0.2890, RMSE 0.3979, R2 -4.6842
x10: Cal. error 0.2790, RMSE 0.4047, R2 -4.9508
x11: Cal. error 0.2890, RMSE 0.4060, R2 -5.0672
x12: Cal. error 0.2960, RMSE 0.4082, R2 -5.2295
x13: Cal. error 0.3210, RMSE 0.4104, R2 -5.3927
x14: Cal. error 0.3130, RMSE 0.4134, R2 -5.5817
x15: Cal. error 0.3150, RMSE 0.4156, R2 -5.7490
x16: Cal. error 0.3250, RMSE 0.4184, R2 -5.9460
x17: Cal. error 0.3310, RMSE 0.4218, R2 -6.1500
x18: Cal. error 0.3350, RMSE 0.4275, R2 -6.4225
x19: Cal. error 0.3390, RMSE 0.4336, R2 -6.7002
x20: Cal. error 0.3380, RMSE 0.4409, R2 -7.0208
x21: Cal. error 0.3370, RMSE 0.4494, R2 -7.3584
x22: Cal. error 0.3390, RMSE 0.4595, R2 -7.7651
x23: Cal. error 0.3610, RMSE 0.4696, R2 -8.1598
x24: Cal. error 0.3650, RMSE 0.4797, R2 -8.5340
x25: Cal. error 0.3730, RMSE 0.4879, R2 -8.8378
x26: Cal. error 0.3820, RMSE 0.4975, R2 -9.1634
x27: Cal. error 0.3870, RMSE 0.5046, R2 -9.4044
x28: Cal. error 0.4060, RMSE 0.5123, R2 -9.6361
x29: Cal. error 0.4190, RMSE 0.5187, R2 -9.8043
x30: Cal. error 0.4270, RMSE 0.5242, R2 -9.9550
x31: Cal. error 0.4310, RMSE 0.5282, R2 -10.0520
x32: Cal. error 0.4330, RMSE 0.5319, R2 -10.0906
x33: Cal. error 0.4350, RMSE 0.5321, R2 -10.0247
x34: Cal. error 0.4380, RMSE 0.5326, R2 -9.9530
x35: Cal. error 0.4420, RMSE 0.5329, R2 -9.8557
x36: Cal. error 0.4400, RMSE 0.5302, R2 -9.7094
